date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190307,Social - Brand - Paid,25-34,New Visitor,656,0
20190307,Social - Brand - Paid,25-34,Returning Visitor,145,0
20190307,Social - Brand - Paid,35-44,New Visitor,716,1
20190307,Social - Brand - Paid,35-44,Returning Visitor,233,0
20190307,Social - Brand - Paid,45-54,New Visitor,546,0
20190307,Social - Brand - Paid,45-54,Returning Visitor,180,0
20190307,Social - Brand - Paid,55-64,New Visitor,252,0
20190307,Social - Brand - Paid,55-64,Returning Visitor,92,0
20190307,Social - Brand - Paid,65+,New Visitor,64,0
20190307,Social - Brand - Paid,65+,Returning Visitor,19,0
20190307,Social - DPA - Paid,18-24,Returning Visitor,35,1
20190307,Social - DPA - Paid,25-34,New Visitor,32,0
20190307,Social - DPA - Paid,25-34,Returning Visitor,201,2
20190307,Social - DPA - Paid,35-44,New Visitor,40,0
20190307,Social - DPA - Paid,35-44,Returning Visitor,398,5
20190307,Social - DPA - Paid,45-54,New Visitor,20,0
20190307,Social - DPA - Paid,45-54,Returning Visitor,321,2
20190307,Social - DPA - Paid,55-64,New Visitor,11,0
20190307,Social - DPA - Paid,55-64,Returning Visitor,192,1
20190307,Social - DPA - Paid,65+,Returning Visitor,78,1
20190307,Social - Organic - Non Paid,18-24,New Visitor,13,0
20190307,Social - Organic - Non Paid,18-24,Returning Visitor,19,0
20190307,Social - Organic - Non Paid,25-34,New Visitor,73,0
20190307,Social - Organic - Non Paid,25-34,Returning Visitor,95,0
20190307,Social - Organic - Non Paid,35-44,New Visitor,82,0
20190307,Social - Organic - Non Paid,35-44,Returning Visitor,182,4
20190307,Social - Organic - Non Paid,45-54,New Visitor,79,0
20190307,Social - Organic - Non Paid,45-54,Returning Visitor,113,1
20190307,Social - Organic - Non Paid,55-64,New Visitor,68,0
20190307,Social - Organic - Non Paid,55-64,Returning Visitor,81,0
20190307,Social - Organic - Non Paid,65+,New Visitor,29,0
20190307,Social - Organic - Non Paid,65+,Returning Visitor,36,0
20190307,Social - Performance - Paid,18-24,New Visitor,19,0
20190307,Social - Performance - Paid,18-24,Returning Visitor,25,0
20190307,Social - Performance - Paid,25-34,New Visitor,239,0
20190307,Social - Performance - Paid,25-34,Returning Visitor,239,2
20190307,Social - Performance - Paid,35-44,New Visitor,631,0
20190307,Social - Performance - Paid,35-44,Returning Visitor,494,1
20190307,Social - Performance - Paid,45-54,New Visitor,422,0
20190307,Social - Performance - Paid,45-54,Returning Visitor,281,0
20190307,Social - Performance - Paid,55-64,New Visitor,208,0
20190307,Social - Performance - Paid,55-64,Returning Visitor,153,0
20190307,Social - Performance - Paid,65+,New Visitor,68,0
20190307,Social - Performance - Paid,65+,Returning Visitor,44,0
20190308,(Other),25-34,New Visitor,22,0
20190308,(Other),25-34,Returning Visitor,58,0
20190308,(Other),35-44,New Visitor,16,0
20190308,(Other),35-44,Returning Visitor,48,0
20190308,(Other),45-54,New Visitor,10,0
20190308,(Other),45-54,Returning Visitor,45,0
20190308,(Other),55-64,Returning Visitor,11,0
20190308,(Other),65+,Returning Visitor,15,1
20190308,Direct - Non Paid,18-24,New Visitor,86,0
20190308,Direct - Non Paid,18-24,Returning Visitor,117,1
20190308,Direct - Non Paid,25-34,New Visitor,346,2
20190308,Direct - Non Paid,25-34,Returning Visitor,611,10
20190308,Direct - Non Paid,35-44,New Visitor,343,2
20190308,Direct - Non Paid,35-44,Returning Visitor,741,7
20190308,Direct - Non Paid,45-54,New Visitor,274,3
20190308,Direct - Non Paid,45-54,Returning Visitor,613,9
20190308,Direct - Non Paid,55-64,New Visitor,190,3
20190308,Direct - Non Paid,55-64,Returning Visitor,403,4
20190308,Direct - Non Paid,65+,New Visitor,115,0
20190308,Direct - Non Paid,65+,Returning Visitor,223,0
20190308,Email - Newsletter Franquicias - Non Paid,25-34,New Visitor,35,0
20190308,Email - Newsletter Franquicias - Non Paid,25-34,Returning Visitor,59,0
20190308,Email - Newsletter Franquicias - Non Paid,35-44,New Visitor,35,0
20190308,Email - Newsletter Franquicias - Non Paid,35-44,Returning Visitor,62,0
20190308,Email - Newsletter Franquicias - Non Paid,45-54,New Visitor,26,0
20190308,Email - Newsletter Franquicias - Non Paid,45-54,Returning Visitor,54,0
20190308,Email - Newsletter Franquicias - Non Paid,55-64,New Visitor,15,0
20190308,Email - Newsletter Franquicias - Non Paid,55-64,Returning Visitor,49,0
